caption_index,image_id,caption
70,1019604187_d087bf9a5f,a dog prepares to catch a thrown object in a field with nearby cars .
71,1019604187_d087bf9a5f,a white dog is about to catch a yellow ball in its mouth .
72,1019604187_d087bf9a5f,a white dog is about to catch a yellow dog toy .
73,1019604187_d087bf9a5f,a white dog is ready to catch a yellow ball flying through the air .
74,1019604187_d087bf9a5f,a white dog running after a yellow ball
75,1020651753_06077ec457,a black and white dog jumping in the air to get a toy .
76,1020651753_06077ec457,a black and white dog jumps up towards a yellow toy .
77,1020651753_06077ec457,a dog leaps to catch a ball in a field .
78,1020651753_06077ec457,a white dog is trying to catch a ball in midair over a grassy field .
79,1020651753_06077ec457,the white dog is playing in a green field with a yellow toy .
80,1022454332_6af2c1449a,a child and a woman are at waters edge in a big city .
81,1022454332_6af2c1449a,a large lake with a lone duck swimming in it with several people around the edge of it .
82,1022454332_6af2c1449a,a little boy at a lake watching a duck .
83,1022454332_6af2c1449a,a young boy waves his hand at the duck in the water surrounded by a green park .
84,1022454332_6af2c1449a,"two people are at the edge of a lake , facing the water and the city skyline ."
85,1022454428_b6b660a67b,"a couple and an infant , being held by the male , sitting next to a pond with a near by stroller ."
86,1022454428_b6b660a67b,a couple sit on the grass with a baby and stroller .
87,1022454428_b6b660a67b,a couple with their newborn baby sitting under a tree facing a lake .
88,1022454428_b6b660a67b,a man and woman care for an infant along the side of a body of water .
89,1022454428_b6b660a67b,couple with a baby sit outdoors next to their stroller .
90,1022975728_75515238d8,a black dog running in the surf .
91,1022975728_75515238d8,a black lab with tags frolicks in the water .
92,1022975728_75515238d8,a dog splashes in the water
93,1022975728_75515238d8,the black dog runs through the water .
94,1022975728_75515238d8,this is a black dog splashing in the water .
95,102351840_323e3de834,a man drilling a hole in the ice .
96,102351840_323e3de834,a man is drilling through the frozen ice of a pond .
97,102351840_323e3de834,a person in the snow drilling a hole in the ice .
98,102351840_323e3de834,a person standing on a frozen lake .
99,102351840_323e3de834,two men are ice fishing .
100,1024138940_f1fefbdce1,two different breeds of brown and white dogs play on the beach .
101,1024138940_f1fefbdce1,two dogs are making a turn on a soft sand beach .
102,1024138940_f1fefbdce1,two dogs playing in the sand at the beach .
103,1024138940_f1fefbdce1,two dogs playing together on a beach .
104,1024138940_f1fefbdce1,two large tan dogs play along a sandy beach .
105,102455176_5f8ead62d5,a man uses ice picks and crampons to scale ice .
106,102455176_5f8ead62d5,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .
107,102455176_5f8ead62d5,an ice climber scaling a frozen waterfall .
108,102455176_5f8ead62d5,a person in blue and red ice climbing with two picks .
109,102455176_5f8ead62d5,climber climbing an ice wall
110,1026685415_0431cbf574,a black dog carries a green toy in his mouth as he walks through the grass .
111,1026685415_0431cbf574,a black dog carrying something through the grass .
112,1026685415_0431cbf574,a black dog has a blue toy in its mouth .
113,1026685415_0431cbf574,a dog in grass with a blue item in his mouth .
114,1026685415_0431cbf574,a wet black dog is carrying a green toy through the grass .
115,1028205764_7e8df9a2ea,a man and a baby are in a yellow kayak on water .
116,1028205764_7e8df9a2ea,a man and a little boy in blue life jackets are rowing a yellow canoe .
117,1028205764_7e8df9a2ea,a man and child kayak through gentle waters .
118,1028205764_7e8df9a2ea,a man and young boy ride in a yellow kayak .
119,1028205764_7e8df9a2ea,man and child in yellow kayak
120,1030985833_b0902ea560,a black dog and a brown dog are jumping up to catch a red toy .
121,1030985833_b0902ea560,a black dog and a brown dog play with a red toy on a courtyard .
122,1030985833_b0902ea560,a brown and black lab are outside and the black lab is catching a toy in its mouth .
123,1030985833_b0902ea560,black dog snaps at red and black object as brown dog lunges .
124,1030985833_b0902ea560,the chocolate lab jumps too late to get the toy as the black lab captures it in the driveway .
125,103106960_e8a41d64f8,a boy with a stick kneeling in front of a goalie net
126,103106960_e8a41d64f8,a child in a red jacket playing street hockey guarding a goal .
127,103106960_e8a41d64f8,a young kid playing the goalie in a hockey rink .
128,103106960_e8a41d64f8,a young male kneeling in front of a hockey goal with a hockey stick in his right hand .
129,103106960_e8a41d64f8,"hockey goalie boy in red jacket crouches by goal , with stick ."
130,103195344_5d2dc613a3,a man in black is sitting next to a modern art structure in front of a glass building .
131,103195344_5d2dc613a3,a man sits and reads a newspaper by a sculpture outside of an office building .
132,103195344_5d2dc613a3,a man sits near a large statue .
133,103195344_5d2dc613a3,a man sitting in front of a metal sculpture in front of a building .
134,103195344_5d2dc613a3,the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
135,103205630_682ca7285b,a tent is being set up on the ice .
136,103205630_682ca7285b,two men are about to enter an ice fishing tent on a snow covered lake .
137,103205630_682ca7285b,two men setting up a blue ice fishing hut on an iced over lake
138,103205630_682ca7285b,"two men , standing on an ice , looking into something covered with a blue tarp ."
139,103205630_682ca7285b,two people standing outside a blue tent structure on a snowy surface .
140,1032122270_ea6f0beedb,a woman crouches near three dogs in a field .
141,1032122270_ea6f0beedb,three dogs are playing on grassy hill with a blue sky .
142,1032122270_ea6f0beedb,three dogs are standing in the grass and a person is sitting next to them
143,1032122270_ea6f0beedb,three dogs on a grassy hill
144,1032122270_ea6f0beedb,three dogs stand in a grassy field while a person kneels nearby .
145,1032460886_4a598ed535,a man is standing in front of a skyscraper
146,1032460886_4a598ed535,a man stands in front of a skyscraper .
147,1032460886_4a598ed535,a man stands in front of a very tall building .
148,1032460886_4a598ed535,behind the man in a red shirt stands a large skyscraper .
149,1032460886_4a598ed535,there is a skyscraper in the distance with a man walking in front of the camera .
150,1034276567_49bb87c51c,a boy bites hard into a treat while he sits outside .
151,1034276567_49bb87c51c,a child biting into a baked good .
152,1034276567_49bb87c51c,a small boy putting something in his mouth with both hands .
153,1034276567_49bb87c51c,the boy eats his food outside at the table .
154,1034276567_49bb87c51c,the boy is eating pizza over a tin dish .
155,104136873_5b5d41be75,people sit on the mountainside and check out the view .
156,104136873_5b5d41be75,three people are on a hilltop overlooking a green valley .
157,104136873_5b5d41be75,three people hang out on top of a big hill .
158,104136873_5b5d41be75,three people overlook a green valley .
159,104136873_5b5d41be75,three people rest on a ledge above the moutains .
160,1042020065_fb3d3ba5ba,a boy in a green shirt is looking down at many inflatable boats .
161,1042020065_fb3d3ba5ba,a boy in a green shirt watches kayakers .
162,1042020065_fb3d3ba5ba,a boy looks over a railing at the many boats and rafts below in the water .
163,1042020065_fb3d3ba5ba,a young boy overlooking a crowd of inflatable boats .
164,1042020065_fb3d3ba5ba,a young boy wearing a jersey looks down over a ledge at many boats in the water .
165,1042590306_95dea0916c,a man and woman pose for the camera while another man looks on .
166,1042590306_95dea0916c,a man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
167,1042590306_95dea0916c,a multiracial couple posing for a picture
168,1042590306_95dea0916c,"asian man and blond woman holding hands outdoors , man in background watches ."
169,1042590306_95dea0916c,guy in blue shirt biting hand of girl in black striped jacket while another guy watches
170,1045521051_108ebc19be,a person eats takeout while watching a small television .
171,1045521051_108ebc19be,a person sits on the floor and eats in front of a television .
172,1045521051_108ebc19be,a television with a picture of a girl on it .
173,1045521051_108ebc19be,a young man sits on the floor by the television with a fast food meal in front of him .
174,1045521051_108ebc19be,someone is laying in front of the tv eating food .
175,1048710776_bb5b0a5c7c,a couple of several people sitting on a ledge overlooking the beach
176,1048710776_bb5b0a5c7c,a group of people sit on a wall at the beach .
177,1048710776_bb5b0a5c7c,a group of teens sit on a wall by a beach .
178,1048710776_bb5b0a5c7c,crowd of people at the beach .
179,1048710776_bb5b0a5c7c,several young people sitting on a rail above a crowded beach .
180,1052358063_eae6744153,a boy takes a jump on his skateboard while another boy with a skateboard watches .
181,1052358063_eae6744153,a child is performing a skateboard trick while another child with a skateboard leans on a wall .
182,1052358063_eae6744153,a little boy skateboarder is doing a trick on his board while another young skateboarder watches .
183,1052358063_eae6744153,a young boy skateboarder jumping on a platform on a skateboard .
184,1052358063_eae6744153,two skateboarders .
185,105342180_4d4a40b47f,"a girl paddling down a large river , as seen from behind her ."
186,105342180_4d4a40b47f,a woman kayaking down a river .
187,105342180_4d4a40b47f,a woman paddles a boat down a river .
188,105342180_4d4a40b47f,a woman with a paddle .
189,105342180_4d4a40b47f,a woman with a paddle sits in a boat on the water .
190,1053804096_ad278b25f1,a girl in pigtails splashes in the shallow water .
191,1053804096_ad278b25f1,a girls plays in the surf .
192,1053804096_ad278b25f1,a girl with pigtails is playing in the ocean by the beach .
193,1053804096_ad278b25f1,a girl with pigtails plays in the water .
194,1053804096_ad278b25f1,a young girl in pigtails plays in the water .
195,1055623002_8195a43714,a group of four children wearing pajamas have a pillow fight .
196,1055623002_8195a43714,a group of kids have a pillow-fight .
197,1055623002_8195a43714,a group of young children playing pillow fight on a bed .
198,1055623002_8195a43714,children having a pillow fight .
199,1055623002_8195a43714,four children are having a pillow fight .
200,1055753357_4fa3d8d693,two constructions workers sit on a beam taking a break .
201,1055753357_4fa3d8d693,two construction workers are sitting up on the side of a building .
202,1055753357_4fa3d8d693,two construction workers sitting on an i-beam .
203,1055753357_4fa3d8d693,two construction workers take a seat on a steel beam .
204,1055753357_4fa3d8d693,two men take a break from construction .
205,1056249424_ef2a2e041c,the children are playing in the water .
206,1056249424_ef2a2e041c,"two boys , one with a yellow and orange ball , play in some water in front of a field ."
207,1056249424_ef2a2e041c,two boys play in a puddle .
208,1056249424_ef2a2e041c,two children play with a balloon in mud on a sunny day .
209,1056249424_ef2a2e041c,two kids are running and playing in some water .
210,1056338697_4f7d7ce270,a blond woman in a blue shirt appears to wait for a ride .
211,1056338697_4f7d7ce270,a blond woman is on the street hailing a taxi .
212,1056338697_4f7d7ce270,"a woman is signaling is to traffic , as seen from behind ."
213,1056338697_4f7d7ce270,a woman with blonde hair wearing a blue tube top is waving on the side of the street .
214,1056338697_4f7d7ce270,the woman in the blue dress is holding out her arm at oncoming traffic .
215,1056359656_662cee0814,a little girl looking at a brochure on train rides
216,1056359656_662cee0814,a young blond girl with a magizine in her hands
217,1056359656_662cee0814,a young girl on a train reads a book about train rides .
218,1056359656_662cee0814,a young girl sits on a seat and looks at a train pamphlet .
219,1056359656_662cee0814,child sitting down looking at train ride brochure
220,1056873310_49c665eb22,a brown dog is running after a black dog on a rocky shore .
221,1056873310_49c665eb22,a brown dog is running after the black dog .
222,1056873310_49c665eb22,two dogs playing on a beach .
223,1056873310_49c665eb22,two dogs run across stones near a body of water .
224,1056873310_49c665eb22,two dogs run towards each other on a rocky area with water in the background .
225,1057089366_ca83da0877,a boy descends off the end of a high diving board .
226,1057089366_ca83da0877,a child jumps off a high diving board into the pool .
227,1057089366_ca83da0877,a kid jumps off the diving board and into the swimming pool below .
228,1057089366_ca83da0877,a little kid is jumping off a high dive at the pool .
229,1057089366_ca83da0877,the boy is jumping off a high diving board into the pool .
230,1057210460_09c6f4c6c1,a guy stands by a window taking his overshirt off .
231,1057210460_09c6f4c6c1,a man in a tank top stands next to a chrome door .
232,1057210460_09c6f4c6c1,a man puts his shirt on near an elevator .
233,1057210460_09c6f4c6c1,a man stands by an elevator with his head down .
234,1057210460_09c6f4c6c1,the man is putting on his shirt near an elevator .
235,1057251835_6ded4ada9c,a light-colored dog runs on the beach .
236,1057251835_6ded4ada9c,a small yellow dog runs on a beach
237,1057251835_6ded4ada9c,a tan dog runs on a sandy beach .
238,1057251835_6ded4ada9c,a white dog is running down a rocky beach .
239,1057251835_6ded4ada9c,light brown dog running along the beach .
240,106490881_5a2dd9b7bd,a boy in his blue swim shorts at the beach .
241,106490881_5a2dd9b7bd,a boy smiles for the camera at a beach .
242,106490881_5a2dd9b7bd,a young boy in swimming trunks is walking with his arms outstretched on the beach .
243,106490881_5a2dd9b7bd,children playing on the beach .
244,106490881_5a2dd9b7bd,the boy is playing on the shore of an ocean .
245,106514190_bae200f463,a hiker standing high on a bluff overlooking the mountains below .
246,106514190_bae200f463,a person on ski 's looks from hill over snow covered landscape
247,106514190_bae200f463,a skier is overlooking a snow-covered mountain .
248,106514190_bae200f463,a skier is overlooking the beautiful white snow covered landscape .
249,106514190_bae200f463,a skier pauses on a mountaintop .
250,1067180831_a59dc64344,a black and white dog is attempting to catch a yellow and purple object in a low cut yard .
251,1067180831_a59dc64344,a black and white dog jumps after a yellow toy .
252,1067180831_a59dc64344,a black and white dog jumps to get the frisbee .
253,1067180831_a59dc64344,a black dog is jumping up to catch a purple and green toy .
254,1067180831_a59dc64344,a dog jumps to catch a toy .
255,1067675215_7336a694d6,a man in blue shorts is laying in the street .
256,1067675215_7336a694d6,a man in blue shorts lays down outside in a parking lot .
257,1067675215_7336a694d6,a man laying down in middle of street during heavy traffic .
258,1067675215_7336a694d6,a man lies on a mat in a parking lot between a brown suv and a yellow pickup with an open door .
259,1067675215_7336a694d6,a shirtless man is laying down in the middle of a busy street .
260,1067790824_f3cc97239b,a white and black dog and a brown dog in sandy terrain .
261,1067790824_f3cc97239b,a woolly dog chases a doberman on a beach .
262,1067790824_f3cc97239b,one dog is chasing another one on the beach .
263,1067790824_f3cc97239b,the two large dogs are running through sand .
264,1067790824_f3cc97239b,two large dogs chasing each other at the beach .
265,1072153132_53d2bb1b60,a black and white dog catches a toy in midair .
266,1072153132_53d2bb1b60,a dog and a tennis ball .
267,1072153132_53d2bb1b60,"a dog is jumping to catch a object thrown at it ,"
268,1072153132_53d2bb1b60,a dog leaps while chasing a tennis ball through a grassy field .
269,1072153132_53d2bb1b60,a multicolor dog jumping to catch a tennis ball in a grassy field .
270,107318069_e9f2ef32de,a crowd watching air balloons at night .
271,107318069_e9f2ef32de,a group of hot air balloons lit up at night .
272,107318069_e9f2ef32de,people are watching hot air balloons in the park .
273,107318069_e9f2ef32de,people watching hot air balloons .
274,107318069_e9f2ef32de,seven large balloons are lined up at nighttime near a crowd .
275,1075716537_62105738b4,a child with a helmet on his head rides a bike .
276,1075716537_62105738b4,a little boy rides a bike down a hill on a miniature dirt bike .
277,1075716537_62105738b4,a young boy in a helmet rides a bike on the road .
278,1075716537_62105738b4,the little boy rides his bicycle in a race .
279,1075716537_62105738b4,the young boy pedals quickly at a bmx race .
280,107582366_d86f2d3347,a group of eight people are gathered around a table at night .
281,107582366_d86f2d3347,a group of people gathered around in the dark .
282,107582366_d86f2d3347,a group of people sit around a table outside on a porch at night .
283,107582366_d86f2d3347,a group of people sit outdoors together at night .
284,107582366_d86f2d3347,a group of people sitting at a table in a darkened room .
285,1075867198_27ca2e7efe,a man in a brown shirt and dark shorts plays on the beach with his two black dogs .
286,1075867198_27ca2e7efe,a man in shorts with two black dogs holds a ball throwing toy at the beach .
287,1075867198_27ca2e7efe,a man playing with two black dogs on the beach
288,1075867198_27ca2e7efe,a man with two dogs on a beach
289,1075867198_27ca2e7efe,man at the beach with two dogs .
290,1075881101_d55c46bece,a boy cleans the bubbles off his face .
291,1075881101_d55c46bece,a boy covered in suds has his face wiped clean .
292,1075881101_d55c46bece,a boy is covered in bubbles .
293,1075881101_d55c46bece,a child covered in foam is climbing on a black inflatable ramp .
294,1075881101_d55c46bece,a person covered in soapy water is getting cleaned off .
295,1077546505_a4f6c4daa9,a boy in blue shorts slides down a slide into a pool .
296,1077546505_a4f6c4daa9,a boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .
297,1077546505_a4f6c4daa9,a boy rides down a slide into a small backyard pool .
298,1077546505_a4f6c4daa9,a boy sliding down a slide into a pool with colorful tubes .
299,1077546505_a4f6c4daa9,a child is falling off a slide onto colored balloons floating on a pool of water .
300,1077931201_1e0bb83105,a man in a wetsuit is throwing a baby wearing a wetsuit up into the air .
301,1077931201_1e0bb83105,a man in a wetsuit is throwing a toddler up in the air and is ready to catch him .
302,1077931201_1e0bb83105,a man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .
303,1077931201_1e0bb83105,the man is in the pool and throwing a small boy into the air .
304,1077931201_1e0bb83105,"while water droplets fly , a man throws a little boy up in the air ."
305,1079274291_9aaf896cc1,a little boy sticks his tongue out for the camera . another boy looks on .
306,1079274291_9aaf896cc1,two boys make faces .
307,1079274291_9aaf896cc1,"two young boys are looking at the camera , one smiling , the other sticking his tongue out ."
308,1079274291_9aaf896cc1,two young boys look up at the camera as one sticks out his tongue .
309,1079274291_9aaf896cc1,two young boys making silly faces .
310,10815824_2997e03d76,a blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel .
311,10815824_2997e03d76,a girl and her horse stand by a fire .
312,10815824_2997e03d76,a girl holding a horse 's lead behind a fire .
313,10815824_2997e03d76,"a man , and girl and two horses are near a contained fire ."
314,10815824_2997e03d76,two people and two horses watching a fire .
315,1082252566_8c79beef93,"a bulldog , a sheep dog , and a boxer standing in a yard ."
316,1082252566_8c79beef93,a large brown dog is pushing a small boston terrier with his face while anouther dog watches .
317,1082252566_8c79beef93,a large skinny dog stands near two smaller dogs int the dirt .
318,1082252566_8c79beef93,there are three dogs starring at a ball in the middle of them .
319,1082252566_8c79beef93,three dogs of various sizes .
320,1082379191_ec1e53f996,a lady and a man with no shirt sit on a dock .
321,1082379191_ec1e53f996,a man and a woman are sitting on a dock together .
322,1082379191_ec1e53f996,a man and a woman sitting on a dock .
323,1082379191_ec1e53f996,a man and woman sitting on a deck next to a lake .
324,1082379191_ec1e53f996,a shirtless man and a woman sitting on a dock .
325,1084040636_97d9633581,a closeup of a white dog that is laying its head on its paws .
326,1084040636_97d9633581,a large white dog lying on the floor .
327,1084040636_97d9633581,a white dog has its head on the ground .
328,1084040636_97d9633581,a white dog is resting its head on a tiled floor with its eyes open .
329,1084040636_97d9633581,a white dog rests its head on the patio bricks .
330,1084104085_3b06223afe,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .
331,1084104085_3b06223afe,a woman in blue shorts and a white shirt is indoor rock climbing .
332,1084104085_3b06223afe,the girl is climbing a rock wall .
333,1084104085_3b06223afe,"the girl is in a harness , climbing rocks ."
334,1084104085_3b06223afe,woman climbing an artificial rock wall .
335,1087168168_70280d024a,a boy is jumping on an inflatable ring and a girl is watching him
336,1087168168_70280d024a,a boy jumping on a water jumphouse
337,1087168168_70280d024a,a teenage boy is jumping on an inflatable slide .
338,1087168168_70280d024a,a young boy jumping and a young girl seating in an inflatable pool .
339,1087168168_70280d024a,two young kids are playing in the water on an inflated toy .
340,1087539207_9f77ab3aaf,a family playing on a tractor on a beautiful day
341,1087539207_9f77ab3aaf,children ride a tractor in a field .
342,1087539207_9f77ab3aaf,several children playing on a polaris vehicle outdoors .
343,1087539207_9f77ab3aaf,the children played on the four wheeler in the field .
344,1087539207_9f77ab3aaf,the four kids are riding on an atv in a field .
345,1088767354_2acee738cf,a woman in a red costume to the left of a man and woman standing together .
346,1088767354_2acee738cf,a woman wearing a red costume looks at two other people standing on a street .
347,1088767354_2acee738cf,a young woman in a red sequined costume and feather stands on the sidewalk .
348,1088767354_2acee738cf,the girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .
349,1088767354_2acee738cf,two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
350,108898978_7713be88fc,skiiers walking up the hill through a forest .
351,108898978_7713be88fc,two men are skiing in the snow in a wooded area .
352,108898978_7713be88fc,two people wearing yellow jackets cross-country skiing .
353,108898978_7713be88fc,two skiers are making their way through woodland .
354,108898978_7713be88fc,two skiers are sliding down a trail in the woods .
355,108899015_bf36131a57,a lone skier is making their way up a mountain .
356,108899015_bf36131a57,skiiers at the top of a snow covered hill .
357,108899015_bf36131a57,two hikers climbing a snowy hill .
358,108899015_bf36131a57,two people are on a snow-covered mountain .
359,108899015_bf36131a57,two people climbing up a snowy mountain .
360,1089181217_ee1167f7af,a brown dog running down a paved pathway
361,1089181217_ee1167f7af,a brown dog running next to grass .
362,1089181217_ee1167f7af,a dog is running down a road .
363,1089181217_ee1167f7af,a light brown dog runs down a path happily .
364,1089181217_ee1167f7af,energetic brown dog running
365,1089755335_0bfbfd30e6,a mother and children is fishing on a boardwalk at night .
366,1089755335_0bfbfd30e6,a woman and three children stand on a deck with a fishing pole .
367,1089755335_0bfbfd30e6,a woman stands with children on a boardwalk at night overlooking the sea .
368,1089755335_0bfbfd30e6,some people on a pier at night with one girl fishing off it .
369,1089755335_0bfbfd30e6,woman with three children fishing over boardwalk in the evening .
370,109202756_b97fcdc62c,a woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
371,109202756_b97fcdc62c,a woman in a blue jacket rides a brown pony near water .
372,109202756_b97fcdc62c,a woman rides a horse near a frozen lake in the wintertime .
373,109202756_b97fcdc62c,a young blond woman sitting atop a brown draft horse in the snowy mountains .
374,109202756_b97fcdc62c,woman n blue jacket sits on daft horse near a frozen lake .
375,109202801_c6381eef15,two draft horses pull a cart through the snow .
376,109202801_c6381eef15,two golden brown horses pull a sleigh driven by a woman in a blue coat .
377,109202801_c6381eef15,two horses are pulling a woman in a cart .
378,109202801_c6381eef15,two horses pull a carriage driven by a woman over snow covered ground .
379,109202801_c6381eef15,two horses pulling a sled steered by a smiling blond woman .
380,109260216_85b0be5378,a person climbing down a sheer rock cliff using a rope
381,109260216_85b0be5378,"a person climbs a tall , flat mountain while holding onto a safety rope ."
382,109260216_85b0be5378,a person is climbing a rock while holding onto a white rope .
383,109260216_85b0be5378,a person rappels down a steep incline .
384,109260216_85b0be5378,a person wearing a red vest climbs up a steep rock .
385,109260218_fca831f933,people stand inside a rock dome .
386,109260218_fca831f933,shaft of light in a cave shows three spelunkers
387,109260218_fca831f933,spelunkers pose inside a rock cavern while bathed in sunlight from the surface .
388,109260218_fca831f933,three people sit in a cave .
389,109260218_fca831f933,three rock climbers are posing on big rocks .
390,1093716555_801aacef79,a group of backpackers lay on the dry ground .
391,1093716555_801aacef79,a group of hikers are resting on the ground in front of some mountains .
392,1093716555_801aacef79,people camp with the mountains in the background .
393,1093716555_801aacef79,several hikers rest with their gear in front of a mountain .
394,1093716555_801aacef79,the group of hikers is resting in front of a mountain .
395,1093737381_b313cd49ff,a woman in a blue dress stands with a chalk portrait of two children playing by a stream .
396,1093737381_b313cd49ff,a woman standing in front of a chalk drawing
397,1093737381_b313cd49ff,a woman stands next to a chalk drawing in front of a barn-like structure .
398,1093737381_b313cd49ff,a woman stands outside near an elaborate chalk illustration .
399,1093737381_b313cd49ff,a woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .
400,1094462889_f9966dafa6,a brown dog plays in a deep pile of snow .
401,1094462889_f9966dafa6,a dog looking at the camera in snow .
402,1094462889_f9966dafa6,a dog runs through the snow .
403,1094462889_f9966dafa6,a tan dog stand in the snow and looks up .
404,1094462889_f9966dafa6,the brown dog is out in the snow .
405,1095476286_87d4f8664e,a boy jumping in a fountain .
406,1095476286_87d4f8664e,a boy plays in the fountains .
407,1095476286_87d4f8664e,a child plays in a fountain .
408,1095476286_87d4f8664e,a little boy playing in the water .
409,1095476286_87d4f8664e,a young boy is jumping through water being sprayed up from the ground .
410,1095580424_76f0aa8a3e,a corgi runs out of a tunnel .
